,budget,id,revenue,runtime,views,likes,dislikes,n_trailers,daysSinceStart,dayInYear,Mystery,Romance,Family,Science Fiction,Horror,Crime,Drama,Fantasy,Western,Animation,Music,Adventure,Foreign,Action,TV Movie,Comedy,Documentary,War,Thriller,History,numlang,cn,da,de,en,es,fr,hi,it,ja,ko,ml,ru,ta,zh,profit,isProfitable
59,50000000,10329,152022101.0,109.0,221260,151,14,1,29341,159,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102022101.0,1
60,53000000,8963,157387195.0,116.0,16523,0,0,1,29313,131,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,104387195.0,1
61,7000000,8068,25405445.0,104.0,269717,0,0,1,29418,236,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18405445.0,1
62,27000000,8512,16140822.0,102.0,11669,19,2,1,29439,257,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10859178.0,0
63,90000000,1572,366101666.0,128.0,135644,245,16,1,29320,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,276101666.0,1
64,55000000,6520,127600435.0,134.0,712279,647,54,1,29369,187,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72600435.0,1
65,20000000,10428,7563728.0,107.0,1385268,1691,116,1,29438,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-12436272.0,0
66,25000000,9886,19075720.0,97.0,153833,274,17,1,29327,145,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-5924280.0,0
67,90000000,9482,113493481.0,96.0,526482,668,56,1,29362,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23493481.0,1
68,1500000,9344,7412216.0,91.0,2563546,6772,353,1,29390,208,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5912216.0,1
69,6000000,2293,2122561.0,94.0,295970,614,25,1,29474,292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3877439.0,0
70,15000000,9070,66000000.0,92.0,1142299,1207,166,1,29362,180,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51000000.0,1
71,2,48787,1.0,95.0,2478,4,0,1,29452,270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0
72,22000000,1642,110627965.0,114.0,648925,763,48,1,29390,208,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88627965.0,1
73,150000,36196,472370.0,94.0,4457,8,0,1,29341,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,322370.0,1
74,8,11980,16.0,98.0,158456,180,4,1,29425,243,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,1
75,50000000,10533,10382407.0,135.0,417675,178,17,1,29467,285,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-39617593.0,0
76,45000000,10802,20350754.0,128.0,755868,640,73,1,29446,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-24649246.0,0
77,7000000,10149,8349430.0,112.0,13670,63,3,1,29341,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1349430.0,1
78,35000000,9348,113374103.0,108.0,136146,75,7,1,29369,187,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78374103.0,1
79,42000000,281,7959291.0,145.0,897068,1795,59,1,29467,285,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-34040709.0,0
80,14000000,79593,5780000.0,99.0,17888,27,1,1,29432,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8220000.0,0
81,60000000,3512,104324083.0,100.0,101338,136,9,1,29375,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44324083.0,1
82,20000000,9560,50012507.0,103.0,642555,1113,39,1,29404,222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30012507.0,1
83,175000000,9804,264218220.0,135.0,1394198,1424,148,1,29390,208,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89218220.0,1
84,2800000,50797,2616503.0,135.0,48434,47,5,1,28937,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-183497.0,0
85,2500000,76,5535405.0,105.0,259926,1166,15,1,29208,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3035405.0,1
86,10000000,11017,26488734.0,89.0,29660,32,6,1,29222,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16488734.0,1
87,21000000,9382,23450000.0,115.0,7178,0,0,1,29215,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2450000.0,1
88,27000,2292,3151130.0,92.0,496011,1069,40,1,29072,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3124130.0,1
89,25000000,1909,22200000.0,97.0,1728,2,0,1,29090,273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2800000.0,0
90,55000000,8984,214015089.0,123.0,418313,74,13,2,29159,342,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,159015089.0,1
91,18000000,522,5887457.0,127.0,760291,2260,44,1,29086,269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-12112543.0,0
92,15000000,27303,12201255.0,103.0,39348,71,5,1,29243,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2798745.0,0
93,700000,14275,7830611.0,171.0,510705,557,11,2,29071,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7130611.0,1
94,5000000,1024,3049135.0,99.0,21469,28,3,1,29061,244,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1950865.0,0
95,60000000,628,223664608.0,123.0,328872,451,11,1,29131,314,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163664608.0,1
96,60000000,6280,37000000.0,109.0,304121,772,57,1,29142,325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-23000000.0,0
97,11000000,11,775398007.0,121.0,2496022,21841,327,3,22752,144,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,764398007.0,1
98,2000000,18183,21665468.0,105.0,182677,195,9,1,28192,106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19665468.0,1
99,30000000,4476,160638883.0,133.0,441946,492,22,2,29166,349,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130638883.0,1
100,17000000,28313,7603766.0,106.0,90447,0,0,1,29257,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-9396234.0,0
101,45000000,3036,112006296.0,123.0,516782,593,50,1,29124,307,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67006296.0,1
102,31000000,1945,106683817.0,112.0,570954,677,60,1,29173,356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75683817.0,1
103,34000000,241,50282766.0,119.0,6631,10,0,1,29053,236,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16282766.0,1
104,50000000,6950,189859560.0,127.0,190093,257,20,1,29250,68,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139859560.0,1
105,16000000,101,45284974.0,110.0,514840,2847,72,1,29073,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29284974.0,1
106,11000000,63020,2832826.0,113.0,9247,18,3,1,29313,131,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8167174.0,0
107,8000000,680,213928762.0,154.0,3727135,10906,371,1,29069,252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,205928762.0,1
108,32000000,12106,18552460.0,107.0,447166,452,27,1,29221,39,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-13447540.0,0
109,22000000,161495,12400000.0,108.0,9555,38,1,1,29241,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9600000.0,0
110,15000000,3586,11300653.0,133.0,107140,350,18,1,29173,356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3699347.0,0
111,35000000,22586,9771658.0,89.0,324579,383,36,1,29138,321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-25228342.0,0
112,45000000,2636,170362582.0,110.0,222514,270,23,2,29096,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125362582.0,1
113,55000000,2164,196567262.0,121.0,49059,79,5,2,29116,299,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141567262.0,1
114,22000000,11395,189833357.0,97.0,1371549,1513,118,1,29130,313,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167833357.0,1
115,25000000,278,28341469.0,142.0,519859,942,81,3,29082,265,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3341469.0,1
116,25000000,9067,4064495.0,98.0,242589,682,44,2,29271,89,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-20935505.0,0
117,38000000,193,120000000.0,118.0,143562,0,0,1,29137,320,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82000000.0,1
